catalog_version,provider,model,component,catalog_token_counter,context_tier_name,context_tier_min_tokens,context_tier_max_tokens,catalog_usd_per_1m_tokens,cloud_billing_service_id,cloud_billing_service_description,cloud_billing_sku_id,cloud_billing_sku_description,billing_region_or_location,pricing_unit,usage_unit,currency,list_price_usd_per_1m_tokens,contract_price_usd_per_1m_tokens,price_basis,effective_start_date,effective_end_date,pricing_as_of_time,verified_at,source_method,source_url,maps_to_catalog_rate,billing_export_sku_join_key,billing_account_ref_redacted,contract_id_ref_redacted,reconciliation_status,reconciled_by,artifact_updated_at,notes
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.0-flash,input,prompt_tokens_minus_cached_tokens,standard,,,0.15,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,pending,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.0-flash,output,completion_tokens,standard,,,0.6,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,pending,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-flash,input,prompt_tokens_minus_cached_tokens,standard,,,0.3,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,pending,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-flash,cached_input,cached_tokens,standard,,,0.03,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,pending,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-flash,output,completion_tokens,standard,,,2.5,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,pending,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-flash,thoughts,thoughts_tokens,standard,,,2.5,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,pending,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-flash-lite,input,prompt_tokens_minus_cached_tokens,standard,,,0.1,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,pending,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-flash-lite,cached_input,cached_tokens,standard,,,0.01,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,pending,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-flash-lite,output,completion_tokens,standard,,,0.4,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,pending,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-flash-lite,thoughts,thoughts_tokens,standard,,,0.4,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,pending,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-pro,input,prompt_tokens_minus_cached_tokens,standard_high_context,200001,,2.5,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,conservative,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-pro,cached_input,cached_tokens,standard_high_context,200001,,0.25,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,conservative,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-pro,output,completion_tokens,standard_high_context,200001,,15.0,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,conservative,,,,pending,,,
vertex-ai-gemini-2026-05-03,google_vertex_ai,gemini-2.5-pro,thoughts,thoughts_tokens,standard_high_context,200001,,15.0,,,,,,,,,,,operator_to_confirm,,,,,Pricing Table,https://cloud.google.com/vertex-ai/generative-ai/pricing,conservative,,,,pending,,,
